idx,class,conversation
0,일반 대화,"오늘 점심 뭐 먹을까요?
글쎄요, 어제는 중식 먹었으니까 오늘은 한식 어때요? 근처에 새로 생긴 김치찌개 집 있던데.
오, 좋아요! 거기 평점도 높더라고요. 12시에 바로 출발하시죠."
1,일반 대화,"주말에 뭐 했어?
오랜만에 친구 만나서 영화 봤어. ‘서울의 봄’ 봤는데 진짜 여운이 길게 남더라.
아, 나도 그거 봤는데! 배우들 연기가 정말 대단했지. 너도 재밌게 봤다니 다행이다."
2,일반 대화,"팀장님, 다음 주 월요일에 제가 오전에 반차 써도 괜찮을까요?
네, 괜찮아요. 혹시 무슨 일 있어요?
아, 아이 유치원 발표회가 있어서요. 미리 말씀드렸어야 했는데 죄송합니다.
아니에요, 그런 일이면 당연히 가봐야죠. 걱정 말고 잘 다녀오세요."
3,일반 대화,"이 노래 너무 좋은 것 같아. 요즘 계속 이것만 듣고 있어.
오, 들어보자. 음, 내 취향은 아니지만 멜로디는 좋네. 넌 이런 스타일을 좋아하는구나.
응, 가사가 너무 시적이라서 마음에 들어. 너도 한번 歌詞 보면서 들어봐."
4,일반 대화,"고객님, 찾으시는 상품 있으신가요?
네, 이 셔츠 혹시 M 사이즈도 있나요? L는 저한테 좀 커서요.
잠시만요, 재고 확인해 보겠습니다. 아, 죄송하지만 M 사이즈는 품절이네요. 대신 비슷한 디자인의 다른 상품 보여드릴까요?"
5,일반 대화,"오늘 저녁에 우리 동네에서 축제한대. 같이 갈래?
진짜? 무슨 축제인데? 푸드트럭도 와?
응, 동네 플리마켓이랑 푸드트럭 같이 하는 작은 축제야. 저녁 먹고 구경 가면 재밌을 것 같아.
좋아! 7시에 우리 집 앞에서 볼까?"
6,일반 대화,"아, 어제 축구 경기 보셨어요? 마지막에 극장골 들어가서 소름 돋았어요.
그럼요! 보다가 소리 질렀잖아요. 진짜 역대급 경기였어요. 손흥민 선수가 정말 자랑스럽습니다.
맞아요. 다음 경기도 꼭 이겼으면 좋겠어요. 대한민국 화이팅!"
7,일반 대화,"새로 산 노트북 어때? 괜찮아?
응, 생각보다 훨씬 가볍고 빨라서 좋아. 특히 화면이 선명해서 영상 볼 맛이 나.
나도 바꿀 때가 됐는데. 그거 얼마 주고 샀어? 나도 그걸로 살까 봐."
8,일반 대화,"선배, 이 부분 코드가 자꾸 에러가 나는데 혹시 한번만 봐주실 수 있나요?
어디 볼까? 아, 이 부분은 변수 타입이 안 맞아서 그런 거네. int로 형 변환 해주면 될 거야.
아! 정말 간단한 거였네요. 감사합니다 선배님! 덕분에 살았어요."
9,일반 대화,"이번 여름휴가 때 어디로 여행 갈지 정했어?
아직. 제주도는 사람이 너무 많을 것 같고, 그냥 조용한 호캉스나 할까 생각 중이야.
호캉스도 좋지. 나는 강원도 쪽으로 가보려고. 바다도 보고 맛있는 것도 먹고 오게."
