class,conversation
일반 대화,"이번에 바닷가 다녀왔는데 파도 소리 들으니까 힐링되고 모래사장에서 걷는 것도 즐거워 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 바닷가 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 빵집 다녀왔는데 크루아상이랑 마카롱이 바삭하고 달콤해서 기다린 보람이 있었어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 빵집 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 경기장 다녀왔는데 응원 열기가 대단했고 마지막 골 장면은 소름 돋았어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 경기장 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 영화관 다녀왔는데 스토리도 탄탄하고 액션 장면이 시원시원했어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 영화관 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 등산 다녀왔는데 공기도 맑고 정상에서 본 전망이 끝내줬어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 등산 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 헬스장 다녀왔는데 처음엔 힘들었는데 점점 재미가 붙더라 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 헬스장 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 캠핑 다녀왔는데 밤에 별이 쏟아지는 것처럼 보여서 감탄했어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 캠핑 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 핸드폰 다녀왔는데 카메라 화질이 너무 좋아서 사진 찍는 맛이 나더라 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 핸드폰 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 노래방 다녀왔는데 신곡 불렀는데 반응이 좋아서 기분이 좋았어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 노래방 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
일반 대화,"이번에 미술관 다녀왔는데 작품 하나하나가 인상 깊고 설명도 잘 돼 있었어 진짜 인상 깊었어 분위기도 좋고 기분 전환도 되더라 사진도 많이 찍었어 보여줄까 좋아 보여줘 나도 갑자기 미술관 가고 싶어지네 다음엔 우리 같이 가자 일정 맞춰서 꼭 가자 이렇게 같이 하면 더 재밌을 거야"
