idx,class,conversation
1,일반 대화,"오늘 날씨 진짜 좋네요
그러게요. 산책하기 딱 좋은 날씨예요
우리 공원에라도 다녀올까요?
좋아요!"
2,일반 대화,"엄마 저 학교 다녀올게요
응, 조심히 다녀와. 점심은 챙겨갔지?
네 도시락도 챙겨갔어요
그래 좋아. 친구들이랑 재미있게 놀다 와"
3,일반 대화,"어제 영화 봤어?
응 봤어. 액션 영화였는데 진짜 재미있더라
나도 보고 싶었는데 시간이 없었어
이번 주말에 같이 보자. 또 다른 영화도 나왔던데"
4,일반 대화,"커피 마실래?
좋지. 근데 어디서 마셔?
집 근처 카페 어때? 거기 라떼가 맛있어
그래 가자. 나는 아메리카노로 할게"
5,일반 대화,"오늘 회사에서 프레젠테이션 있었어
어떻게 됐어? 잘했어?
생각보다 괜찮았어. 부장님이 칭찬해주셨어
와 대단하다! 축하해"
6,일반 대화,"주말에 뭐 할 계획이야?
특별한 계획은 없는데, 집에서 쉴 예정이야
나는 친구들이랑 등산 가기로 했어
좋네. 날씨도 좋을 것 같고"
7,일반 대화,"저녁 뭐 먹을까?
피자 어때? 오랜만에
좋아. 토핑은 뭘로 할까?
페퍼로니랑 치즈 많이 들어간 걸로 하자"
8,일반 대화,"새로 산 옷 어때?
예쁘다! 색깔이 너한테 잘 어울려
고마워. 오랜만에 쇼핑했는데 마음에 드는 걸 찾았어
어디서 샀어? 나도 비슷한 걸 사고 싶어"
9,일반 대화,"감기 걸렸나봐. 목이 아파
약 먹었어? 병원 가봐야 할 것 같은데
아직 안 먹었어. 집에 있는 감기약이라도 먹어야겠어
그래, 푹 쉬고 따뜻한 물 많이 마셔"
10,일반 대화,"버스 언제 와?
5분 후에 온대
다행이다. 늦을 뻔했네
맞아. 시간 딱 맞춰서 왔네"
11,일반 대화,"새 핸드폰 샀어?
응, 어제 샀어. 카메라 성능이 진짜 좋더라
사진 좀 찍어봤어?
응, 음식 사진 찍었는데 색감이 예뻐. 너도 보여줄게"
12,일반 대화,"운동 시작했다며?
응, 헬스장 등록했어. 주 3회씩 가려고
대단하다. 나도 운동해야 하는데 미루고 있어
같이 하자. 동기부여도 되고 재미있을 것 같아"
13,일반 대화,"오늘 교통이 너무 막혔어
그러게. 나도 평소보다 30분 늦게 도착했어
무슨 일이 있었나?
사고가 있었나봐. 도로에 차들이 줄지어 있더라"
14,일반 대화,"새로 이사한 집 어때?
괜찮아. 햇볕도 잘 들고 조용해
좋겠다. 집들이는 언제 할 거야?
다음 주말에 할 예정이야. 꼭 와줘"
15,일반 대화,"요즘 책 읽고 있어?
응, 추리소설 읽고 있어. 진짜 재미있어
누가 범인인지 알겠어?
아직 모르겠어. 복잡하게 얽혀있더라"
16,일반 대화,"오늘 저녁 약속 있어?
아니, 왜?
같이 치킨 먹을래? 새로 생긴 집이 맛있다던데
좋아! 몇 시에 만날까?"
17,일반 대화,"시험공부 어떻게 돼가?
아직 많이 남았어. 스트레스 받아
파이팅! 조금씩이라도 꾸준히 하면 돼
고마워. 같이 도서관 갈래?"
18,일반 대화,"새로 나온 드라마 봤어?
아직 안 봤는데 재미있어?
응, 스토리가 탄탄하고 배우들 연기도 좋아
그럼 나도 시간 날 때 봐야겠다"
19,일반 대화,"오늘 머리 자르고 왔어
어? 진짜? 많이 잘랐네
응, 단발로 확 잘랐어. 어때?
예뻐! 얼굴이 더 작아 보여"
20,일반 대화,"마트 가는데 뭐 필요한 거 있어?
우유랑 빵 좀 사다 줄래?
알겠어. 다른 건?
계란도 떨어져 가. 고마워!"
21,일반 대화,"오늘 날씨가 정말 추워졌네
맞아. 갑자기 기온이 많이 떨어진 것 같아
두꺼운 옷 입어야겠어
나도 패딩 꺼내야 할 것 같아. 감기 조심해"
22,일반 대화,"새로운 취미 생겼어?
응, 요리 배우기 시작했어. 생각보다 재미있어
뭐 만들어봤어?
파스타랑 볶음밥 만들어봤는데 괜찮게 나왔어"
23,일반 대화,"주차 자리 찾기 힘들었어?
응, 30분 넘게 돌아다녔어
요즘 주차 자리가 부족해
그러게. 대중교통 이용하는 게 나을 것 같아"
24,일반 대화,"새로 생긴 카페 가봤어?
어디? 역 앞에 생긴 곳?
응, 거기 분위기 좋고 커피도 맛있어
오늘 시간 되면 같이 가볼까?"
25,일반 대화,"어제 일찍 잠들었어?
아니, 새벽 2시에 잤어. 넷플릭스 보다가
뭐 봤는데?
새로 나온 시리즈. 중독성이 있어서 계속 보게 되더라"
26,일반 대화,"선물 고민 중이야
누구 선물?
친구 생일 선물. 뭐가 좋을까?
그 친구가 뭘 좋아해? 관심사를 생각해봐"
27,일반 대화,"오늘 회사에서 회식이 있어
어디서 해?
삼겹살집. 오랜만에 동료들이랑 얘기할 수 있을 것 같아
좋겠다. 재미있게 놀다 와"
28,일반 대화,"새 앨범 들어봤어?
누구 앨범?
내가 좋아하는 가수. 이번에 발매한 거
어때? 좋아?
응, 타이틀곡이 특히 좋더라. 너도 들어봐"
29,일반 대화,"오늘 비 온다던데?
그래? 우산 챙겨야겠다
나도 날씨 확인해봐야지
오후부터 온다던 것 같아"
30,일반 대화,"새로운 언어 배우고 있어?
응, 일본어 공부하고 있어
어려워?
문법이 좀 복잡하긴 한데 재미있어. 여행 가서 써보고 싶어"
31,일반 대화,"오늘 점심 뭐 먹었어?
김치찌개 먹었어. 너는?
샐러드 먹었는데 별로 배고프지 않더라
건강한 선택이네. 나도 야채 좀 더 먹어야겠어"
32,일반 대화,"새로운 게임 해봤어?
어떤 게임?
요즘 인기 있는 퍼즐게임. 생각보다 중독성 있어
나도 해볼까? 어디서 다운받을 수 있어?"
33,일반 대화,"오늘 교통카드 충전했어?
아, 깜빡했어. 잔액이 얼마 안 남았는데
편의점에서 충전하면 돼
그래, 지나가면서 해야겠어"
34,일반 대화,"새로운 식당 발견했어
어디에 있어?
우리 집 근처에 있는데 이탈리안 레스토랑이야
맛있어? 다음에 같이 가보자
응, 파스타가 정말 맛있었어"
35,일반 대화,"오늘 일찍 퇴근할 수 있어?
글쎄, 업무가 좀 밀려있어
그럼 늦게 끝나겠네
아마 그럴 것 같아. 먼저 가도 돼"
36,일반 대화,"새로운 헤어스타일 시도해볼까?
어떤 스타일 생각하고 있어?
레이어드 컷. 어떨 것 같아?
괜찮을 것 같은데? 얼굴형에 잘 어울릴 거야"
37,일반 대화,"요즘 건강 관리는 어떻게 해?
비타민 챙겨 먹고 일찍 자려고 노력하고 있어
좋은 습관이네. 나도 본받아야겠어
작은 것부터 시작하면 돼"
38,일반 대화,"새로운 취미 클래스 등록했어?
응, 도자기 만들기 수업
재미있을 것 같다! 언제 시작해?
다음 주부터 시작해. 결과물 나오면 보여줄게"
39,일반 대화,"오늘 슈퍼마켓에서 할인해?
응, 생필품 30% 할인이래
좋다! 필요한 것들 사야겠어
나도 같이 가도 될까?"
40,일반 대화,"새로운 브런치 카페 가봤어?
어디 말하는 거야?
강남에 새로 생긴 곳. 팬케이크가 유명해
맛있어? 주말에 가볼까?
응! 분위기도 좋고 음식도 맛있었어"
41,일반 대화,"오늘 운동 갔다 왔어?
응, 1시간 정도 했어
뭐 했어?
런닝머신이랑 웨이트 조금. 땀 많이 흘렸어"
42,일반 대화,"새로운 드라마 추천해줄래?
장르는 뭘 좋아해?
로맨스나 코미디
그럼 요즘 인기 있는 로코 드라마 있어. 정말 재미있어"
43,일반 대화,"오늘 교통이 어땠어?
평소보다 한산했어. 빨리 도착했어
다행이네. 나는 지하철이 좀 지연됐었어
출근 시간대라 그런가봐"
44,일반 대화,"새로운 음식 도전해봤어?
응, 태국 음식 만들어봤어
어려웠어?
생각보다 간단했는데 맛이 좋더라. 레시피 알려줄까?"
45,일반 대화,"오늘 날씨 예보 확인했어?
응, 오후에 소나기 온다더라
그럼 우산 챙겨야겠다
차에 우산 하나 두고 있으니까 괜찮아"
46,일반 대화,"새로운 책 읽기 시작했어?
응, 자기계발서 읽고 있어
어떤 내용이야?
시간 관리와 효율성에 대한 내용이야. 도움 많이 되고 있어"
47,일반 대화,"오늘 점심 메뉴 정했어?
아직 못 정했어. 뭘 먹을까?
근처에 새로운 중식당이 생겼던데
그래? 가볼까? 짜장면 먹고 싶었거든"
48,일반 대화,"새로운 향수 샀어?
응, 어제 면세점에서 샀어
어떤 향이야?
플로럴 계열인데 은은하고 좋아. 향 맡아볼래?"
49,일반 대화,"오늘 일찍 집에 갈 수 있어?
업무가 거의 끝나가서 일찍 갈 수 있을 것 같아
좋겠다. 나는 야근해야 할 것 같아
파이팅! 힘내"
50,일반 대화,"새로운 운동화 샀어?
응, 런닝화로 샀어
편해? 
응, 쿠셔닝이 좋아서 발이 편해. 브랜드 뭔지 알려줄까?"
51,일반 대화,"오늘 카페에서 공부할 거야?
응, 집중이 잘 안 돼서 카페로 갈까 해
어떤 카페로 갈 거야?
조용하고 와이파이 잘 되는 곳으로 가려고
도서관은 어때? 더 조용할 것 같은데"
52,일반 대화,"새로운 레시피 도전해볼까?
뭐 만들어볼 생각이야?
파스타나 리조또 같은 이탈리안 요리
좋아! 재료는 뭐가 필요해?
올리브오일, 마늘, 토마토 이런 기본재료들"
53,일반 대화,"오늘 머리 어떻게 했어? 예쁘다
고마워. 새로운 스타일링 제품 써봤어
어떤 제품이야?
헤어 왁스인데 윤기도 나고 자연스럽게 스타일링돼"
54,일반 대화,"주말에 친구들 만날 거야?
응, 오랜만에 모이기로 했어
어디서 만나?
홍대에서 저녁 먹고 노래방 갈 예정이야"
55,일반 대화,"새로운 앱 설치해봤어?
어떤 앱?
운동 관리하는 앱. 운동 기록하고 칼로리도 계산해줘
유용하겠네. 나도 설치해볼까?"
56,일반 대화,"오늘 쇼핑할 계획 있어?
응, 옷 좀 보러 갈 예정이야
어떤 옷 찾고 있어?
가을 옷들. 자켓이나 니트 같은 거
같이 가도 될까? 나도 옷이 필요해"
57,일반 대화,"새로운 다이어트 방법 시도해?
응, 간헐적 단식 해보고 있어
효과 있어?
아직 시작한 지 얼마 안 됐지만 괜찮은 것 같아"
58,일반 대화,"오늘 회사에서 미팅 있었어?
응, 새 프로젝트 관련 미팅이었어
어땠어?
생각보다 복잡한 프로젝트더라. 준비할 게 많아"
59,일반 대화,"새로운 취미 생활은 어때?
생각보다 재미있어. 스트레스도 풀리고
뭐 하고 있어?
캘리그래피 배우고 있어. 집중력도 기를 수 있어"
60,일반 대화,"오늘 저녁 약속 있다고 했지?
응, 대학 친구들이랑 만나기로 했어
오랜만이네. 어디서 만나?
강남 쪽에서 고기 먹기로 했어"
61,일반 대화,"새로운 음악 들어봤어?
어떤 음악?
인디 밴드 노래. 멜로디가 정말 좋더라
제목이 뭐야? 나도 들어보고 싶어"
62,일반 대화,"오늘 날씨가 맑아서 기분 좋다
그러게. 하늘도 파랗고 구름도 예뻐
산책하기 딱 좋은 날씨네
점심시간에 잠깐 나가서 걸어볼까?"
63,일반 대화,"새로운 화장품 써봤어?
응, 새 파운데이션 샀어
어때? 괜찮아?
커버력도 좋고 지속력도 괜찮더라. 추천해줄게"
64,일반 대화,"오늘 택배 받을 예정이야?
응, 온라인으로 주문한 게 도착할 예정이야
뭐 주문했어?
책이랑 생필품들. 집에서 기다리고 있어야겠어"
65,일반 대화,"새로운 영화 예매했어?
어떤 영화?
요즘 인기 있는 액션 영화. 평점이 좋더라
언제 볼 거야? 나도 보고 싶었거든"
66,일반 대화,"오늘 일찍 일어났어?
응, 6시에 일어났어. 피곤하긴 한데 상쾌해
일찍 일어나는 게 좋긴 하지
그러게. 하루가 길어진 것 같아"
67,일반 대화,"새로운 블로그 시작했어?
응, 일상 기록하는 블로그 만들었어
어떤 내용 올릴 거야?
여행, 맛집, 취미 생활 이런 거 올릴 예정이야"
68,일반 대화,"오늘 점심시간에 뭐 할 거야?
은행 업무 보러 가야 해
무슨 일로?
적금 만들려고. 너는 점심 뭐 먹을 거야?"
69,일반 대화,"새로운 습관 만들려고 노력 중이야
어떤 습관?
매일 책 읽기. 하루에 30분씩이라도
좋은 습관이네. 나도 시작해볼까?"
70,일반 대화,"오늘 친구랑 전화했어?
응, 오랜만에 안부 전화 받았어
뭐 얘기했어?
근황 얘기하고 곧 만나자고 했어. 보고 싶더라"
71,일반 대화,"새로운 계절이라 옷장 정리해야겠어
맞아. 여름옷은 정리하고 가을옷 꺼내야지
기부할 옷들도 정리하면 좋겠어
그래, 안 입는 옷들은 기부하자"
72,일반 대화,"오늘 헬스장 갔다 왔어?
응, 오랜만에 가서 힘들었어
어떤 운동 했어?
유산소랑 간단한 근력운동. 몸이 좀 뻐근해"
73,일반 대화,"새로운 카페 사장님이 친절하시더라
어디 말하는 거야?
우리 동네에 새로 생긴 곳. 커피도 맛있고
나도 가봐야겠어. 위치가 어디야?"
74,일반 대화,"오늘 온라인 쇼핑 많이 했어?
아니, 필요한 것만 몇 개 주문했어
뭐 샀어?
세제랑 화장지 같은 생필품들. 무거운 건 배송이 편해"
75,일반 대화,"새로운 요가 클래스 어때?
생각보다 어려워. 근데 재미있어
몸이 유연해지는 것 같아?
아직은 잘 모르겠지만 꾸준히 해봐야겠어"
76,일반 대화,"오늘 일하면서 스트레스 받았어?
좀 받았어. 업무가 갑자기 많아졌거든
힘들겠네. 오늘은 일찍 자고 푹 쉬어
그래야겠어. 내일은 좀 나아질 거야"
77,일반 대화,"새로운 레스토랑 예약했어?
응, 이번 주말에 가기로 했어
특별한 날이야?
아니, 그냥 새로운 곳 가보고 싶어서. 같이 갈래?"
78,일반 대화,"오늘 날씨 때문에 머리가 잘 안 돼
습도가 높아서 그런가봐
그러게. 모자라도 써야겠어
나도 그냥 묶고 다녔어"
79,일반 대화,"새로운 직장 동료는 어때?
괜찮아. 일도 잘하고 성격도 좋더라
다행이네. 적응하는 데 도움이 되겠어
응, 모르는 것도 친절하게 알려줘"
80,일반 대화,"오늘 저녁에 요리할 거야?
응, 파스타 만들어볼까 해
어떤 파스타?
크림파스타. 레시피 찾아봤는데 어려워 보이지 않더라"
81,일반 대화,"새로운 핸드폰 케이스 샀어?
응, 기존 거 너무 낡아서
어떤 디자인으로 샀어?
심플한 투명 케이스. 핸드폰 원래 색깔이 예뻐서"
82,일반 대화,"오늘 대중교통 이용했어?
응, 지하철 탔는데 사람이 많더라
출근시간이라 그렇지
맞아. 다음엔 조금 일찍 나가야겠어"
83,일반 대화,"새로운 넷플릭스 시리즈 봤어?
어떤 거?
방금 업데이트된 한국 드라마. 평점이 높더라
재미있어? 나도 볼까?"
84,일반 대화,"오늘 친구 생일이라 선물 샀어
뭐 샀어?
향수랑 핸드크림 세트. 포장도 예쁘게 해달라고 했어
좋은 선택이네. 친구가 좋아할 것 같아"
85,일반 대화,"새로운 동네로 이사 준비는 어때?
짐 정리가 생각보다 힘들어
도움 필요하면 얘기해
고마워. 주말에 도와달라고 할게"
86,일반 대화,"오늘 점심 도시락 싸왔어?
응, 어제 밤에 미리 준비했어
뭐 들어있어?
볶음밥이랑 계란말이. 간단하게 만들었어"
87,일반 대화,"새로운 화분 사서 키우고 있어
어떤 식물?
다육식물. 키우기 쉽다고 해서
물을 자주 안 줘도 된다면서?
맞아. 관리가 편해서 좋아"
88,일반 대화,"오늘 회사에서 회의 길어졌어?
응, 예상보다 2시간 더 걸렸어
피곤하겠다
그러게. 집에 가서 쉬고 싶어"
89,일반 대화,"새로운 마스크팩 써봤어?
응, 보습 효과가 좋더라
어떤 브랜드야?
한국 화장품 브랜드. 성분도 순하고 가격도 괜찮아"
90,일반 대화,"오늘 산책하면서 사진 많이 찍었어?
응, 단풍이 예뻐서 계속 찍게 되더라
가을 분위기 나겠네
그래, 인스타그램에 올릴까 해"
91,일반 대화,"새로운 운동 장비 샀어?
응, 홈트레이닝용 매트 샀어
집에서 운동하려고?
응, 헬스장 가기 번거로울 때 간단하게 하려고"
92,일반 대화,"오늘 택시 탔는데 기사님이 친절하시더라
요즘 그런 분들 많아
대화도 재미있게 하고 기분 좋았어
좋은 하루 시작이네"
93,일반 대화,"새로운 펜 샀는데 쓰기 편해
어떤 펜?
볼펜인데 잉크가 잘 나와서 글씨 쓰기 좋아
나도 좋은 펜 하나 사야겠어"
94,일반 대화,"오늘 빨래 다 했어?
응, 아침에 돌려놨는데 이제 말리는 중이야
날씨가 좋아서 금방 마르겠네
그러게. 바람도 불어서 다행이야"
95,일반 대화,"새로운 향초 켰는데 향이 좋네
어떤 향이야?
라벤더 향. 마음이 편안해져
나도 집에 향초 하나 놔둬야겠어"
96,일반 대화,"오늘 점심에 새로운 메뉴 먹어봤어
뭐 먹었어?
퀴노아 샐러드. 건강한 맛이더라
맛있었어? 다이어트 음식 같은데
응, 생각보다 포만감도 있고 좋았어"
97,일반 대화,"새로운 자전거 사서 타보고 있어
어디서 타?
한강 자전거길. 경치도 보면서 운동할 수 있어서 좋아
안전하게 조심해서 타
고마워. 헬멧도 꼭 써"
98,일반 대화,"오늘 은행에서 일 보는데 시간이 오래 걸렸어
무슨 일로?
대출 상담받았는데 서류가 복잡하더라
힘들었겠네. 잘 해결됐어?
일단 서류 준비해서 다시 가야 해"
99,일반 대화,"새로운 게임 다운받아서 해보고 있어
재미있어?
응, 퍼즐 게임인데 중독성 있어
나도 심심할 때 해볼까? 어떤 게임이야?
컬러 매칭 게임. 간단한데 생각보다 어려워"
100,일반 대화,"오늘 머리 감고 나니까 기분이 상쾌해
그러게. 깨끗하게 씻으면 기분이 좋아져
새로운 샴푸도 써봤어
어때? 향이 좋아?
응, 은은하고 좋더라"
101,일반 대화,"새로운 쿠션 사서 소파에 놨는데 분위기가 달라졌어
어떤 색깔로 샀어?
네이비 블루. 기존 소파랑 잘 어울려
집 인테리어 바뀌는 재미가 있지
그러게. 작은 소품 하나로도 많이 달라져"
102,일반 대화,"오늘 도서관에서 공부했는데 집중 잘 됐어
조용해서 좋지?
응, 집에서는 계속 딴 생각하게 되는데
나도 집중이 안 될 때 도서관 가야겠어
분위기가 공부하기 좋아"
103,일반 대화,"새로운 립스틱 색깔 시도해봤어
어떤 색?
코랄 핑크. 평소보다 밝은 색인데 괜찮더라
어울려? 보여줘봐
응, 봄 느낌 나면서 좋아"
104,일반 대화,"오늘 온라인으로 콘서트 티켓 예매했어
어떤 가수?
내가 좋아하는 밴드. 오랜만에 내한 공연이래
좋겠다! 언제야?
다음 달 말. 너무 기대돼"
105,일반 대화,"새로운 베개 사서 써보니까 잠이 잘 와
기존 거랑 뭐가 달라?
높이도 딱 맞고 재질이 부드러워
좋은 베개가 수면의 질을 많이 좌우하지
맞아. 목도 편하고 좋아"
106,일반 대화,"오늘 친구랑 쇼핑하면서 옷 많이 봤어
뭐 샀어?
가디건 하나랑 청바지 샀어. 가을 옷으로
어울릴 것 같아?
응, 색깔도 예쁘고 스타일도 괜찮아"
107,일반 대화,"새로운 치약 써보니까 맛이 달라
어떤 맛?
허브 맛인데 상쾌해. 기존 거보다 좋은 것 같아
양치 후에 개운한 느낌이 다르지?
맞아. 입 안이 깔끔해져"
108,일반 대화,"오늘 회사에서 점심 회식 있었어
어디서 했어?
근처 한식집에서 했는데 분위기 좋았어
동료들이랑 얘기 많이 했어?
응, 평소에 못했던 얘기들도 하고 좋았어"
109,일반 대화,"새로운 핸드폰 액세서리 샀어
뭐 샀어?
무선 이어폰이랑 거치대. 둘 다 유용할 것 같아
무선 이어폰 편해?
응, 선 없으니까 훨씬 자유로워"
110,일반 대화,"오늘 날씨 때문에 머리 스타일이 잘 안 됐어
습도가 높아서 그런가?
그런 것 같아. 곱슬거리고 볼륨도 없어져
모자 쓰고 다니는 건 어때?
그것도 방법이네"
111,일반 대화,"새로운 카드 지갑 사서 쓰고 있는데 편해
기존 거랑 뭐가 달라?
카드 정리하기 쉽고 얇아서 주머니에 넣기 편해
실용적이네. 어떤 색깔로 샀어?
검은색. 무난하고 오래 써도 괜찮을 것 같아서"
112,일반 대화,"오늘 새로운 루트로 출근해봤어
어땠어?
평소보다 10분 빨리 도착했어. 좋은 발견이야
교통체증이 덜한가봐?
그런 것 같아. 앞으로 이 길로 다녀야겠어"
113,일반 대화,"새로운 요리 유튜브 채널 찾았어
어떤 채널?
간단한 요리 레시피 알려주는 채널인데 유용해
나도 구독해볼까? 링크 보내줘
좋아. 따라 하기 쉽게 설명해줘서 좋아"
114,일반 대화,"오늘 치과 검진 받았는데 이상 없다고 하네
다행이다. 정기 검진 받는 거지?
응, 6개월마다 한 번씩 받고 있어
건강 관리 잘하고 있네"
115,일반 대화,"새로운 시계 차고 다니는데 가벼워서 좋아
어떤 시계야?
스마트워치. 운동할 때도 편하고 기능도 많아
배터리는 얼마나 가?
하루 정도는 거뜬해. 충전도 빨라"
116,일반 대화,"오늘 아침에 조깅했는데 기분이 상쾌했어
어디서 뛰었어?
집 근처 공원. 사람도 별로 없고 조용해서 좋았어
아침 운동이 하루 컨디션에 도움 되지?
맞아. 하루 종일 활기차게 보낼 수 있어"
117,일반 대화,"새로운 드라이어 샀는데 머리 말리는 시간이 줄어들었어
성능이 좋나봐
응, 바람도 강하고 온도 조절도 잘 돼
기존 거보다 무게는 어때?
비슷한데 사용하기는 훨씬 편해"
118,일반 대화,"오늘 점심에 도시락 대신 밖에서 먹었어
뭐 먹었어?
비빔밥. 야채도 많고 건강한 느낌이었어
맛있었어?
응, 집에서 못 먹는 맛이라 좋았어"
119,일반 대화,"새로운 모니터 설치했는데 화면이 선명해
크기는 어떻게 돼?
27인치. 작업할 때 훨씬 편해
듀얼 모니터로 쓸 거야?
응, 기존 거랑 같이 써서 작업 효율이 높아졌어"
120,일반 대화,"오늘 새로운 카페에서 공부했는데 분위기 좋더라
어디야? 나도 가볼까?
대학가 근처에 있는데 조용하고 와이파이도 빨라
음료는 어땠어?
커피 맛도 괜찮고 가격도 합리적이었어"
121,일반 대화,"새로운 운동복 샀는데 입어보니까 편해
어떤 브랜드야?
스포츠 브랜드 제품인데 신축성이 좋아
운동할 때 불편하지 않겠네
그래, 움직이기도 편하고 스타일도 괜찮아"
122,일반 대화,"오늘 머리 자르고 왔는데 짧아진 게 어색해
많이 잘랐어?
어깨까지 오던 걸 턱선까지 잘랐어
단발도 잘 어울릴 것 같은데?
고마워. 적응되면 괜찮을 거야"
