conversation,true_label,predicted_label,true_label_name,predicted_label_name
"박 대리 맨날 지각 하냐?
 죄송합니다. 하지만 1분 늦었어요
 1분은 시간 아니야? 너 맨날 일부러 1분씩 늦지?
 그럴리가요 아니에요
 너 다음부터 승진 못하게 내가 절대 막을거야
 왜그러세요. 잘못 했어요
 그럼 너가 잘했어? 못했어?
 잘못했어요. 하지만 저번에 10초 늦었을때도 뭐라고 하셨잖아요
 이 새끼가? 너 다음부터 승진 없고 프로젝트도 내가 무조건 막는다
 제발 왜 그러시는거에요?
 재수 없는 놈. 니가 그니까 승진을 못하지.",3,4,직장 내 괴롭힘 대화,협박 대화
"왜 이래! 
내가 못 올 곳 왔어?
그 사람 오기 전에 빨리 꺼져
그 사람? 섭하네. 우리 아직 안 끝났어
지랄하지말고 내 인생에서 사라져
너 자신을 속이지 마.우리 잘 할 수 있잖아.
꺼지라고 제발!
내일 또 올게
미쳤어? 내 애인이랑 같이 사는집에 니가 뭔데 기어와
내가 니 애인이니까. 니가 진짜 사랑하는 사람
으아 제발 꺼져!",1,4,기타 괴롭힘 대화,협박 대화
"김사장님 별일 없으세요 ?
자네가 여긴 어쩐 일인가.
아니 말씀을 참 섭섭하게 하시네. 인사정도도 가볍게 못합니까
아니 자네가 그럴 의도로 올 사람이 아니라는 걸 알기 때문이지.
크. 김사장님은 역시 눈치가 빨라서 참 좋단말이지.
그래서 바라는게 뭔가 이번엔 
이번에 사업 확장하신다는 소리를 들었는데 그 만큼 회사가 많이 큰데에는 제 몫도 있지 않겠습니까.
자네 ? 자네가 뭘 도왔단 말인가.
와 이렇게 나오시면 섭섭하죠. 그 동안 제가 애들 관리 다 해줘서 별 탈 없이 지금 자리 유지하시는거 아닙니까.
자네가 자네 애들을 우리 회사에 풀어놓고 날 감시한 것 아닌가?
그렇게 말씀하시면 서운합니다. 사장님 그럼 우리 애들이 도움이 안됐다는 건가요 허 참
그래. 그래서 뭘 원하는가.
큰 거 두장만 주시면 됩니다. 그럼 이제 더 이상 사장님 사업에 저희 애들 개입 안시키고 얌전히 가겠습니다.
큰 거 두장? 그게 갑자기 어떻게 생기나. 지금 시기가 어려운 거 자네도 알지 않나.
아니 뭐 사업 확장은 종이 쪼가리로 한답니까? 다 있으신 거 압니다. 내일 다시 오겠습니다. 사장님. 후회할 짓 하지는 마시고요.",0,3,갈취 대화,직장 내 괴롭힘 대화
"자네도 알다시피 이번에 교육건이 좀 커서 맡으려는 기관이 많네?
네. 알고 있습니다
늘 자네가 해왔다고한건 이유가 안돼 알지?
네.노력하겠습니다
뭐 그런 노력도 좋지만 다른쪽으로도 생각해보게
네??
아니 윗분들한테 자네가 챙겨줬다고 하고 식사라도 대접하면 얼마나 좋아하시겠어?
.그말씀은?
잘 생각해보고 내일까지 가지고오게나
네.알겠습니다.",0,3,갈취 대화,직장 내 괴롭힘 대화
"지수씨는 좋겠다
왜요?
비정규직은 부담없잖아
무슨 소리세요?
아니 어차피 갈 사람이니까
저도 팀원인데요?
설렁설렁해
말 이상하게 하시네요
틀린 말은 아니잖아?
그만하세요",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"이거 사이즈 업 해줘.
네 500원 추가입니다.
아니 서비스로 못 해줘?
저희 가게 방침이어서요.
참 무슨 가게가 이래?
죄송합니다. 그렇지만 추가금 주셔야 해요.
단골을 이렇게 대해도 돼?
하지만 제 권한 밖이라.
응 내가 누군지 알고 하는 말이지?
점장님 도와주세요.",1,0,기타 괴롭힘 대화,갈취 대화
"일을 왜 그딴식으로 밖에 못 해?
제가 하나부터 열 가지 못 한 게 뭐가 있죠?
그게 문제야 말을하면 들어야지
저번에는 좋다고 이렇게 가자고 했잖아요.왜 이제와서 그러세요
너는 아는 게 뭐가 있다고 말대꾸야?
저는 저 대로 노력했어요 맨날 이런식 이잖아요.
너 그냥 죽어라
무슨 말씀을 그렇게하세요?
일도 못하고 말도 못알아 들으니까 죽으라고 죽여줘?
그냥 퇴사할게요 저도 더이상은 못 하겠네요",4,3,협박 대화,직장 내 괴롭힘 대화
"야 이 새끼야 너 나 죽이려고 계획 짰지 너도 죽여줄게
재형아 엄마가 언제 그런 소리를 했어 정신 차려라 제발 
시끄러 당신이 계속 죽이겠다는 소리가 들렸어
재형아 그건 너 조현증 때문에 그런거야 진정해 제발
아 그러시겠지 조현증 걸린 아들 키우기 싫어서 제거하려고 하는 거 잖아!!!
재형아 진정하고 약 먹자 내가 미안하다.
야 약 그거 나 독살 시키려고 그런거지? 미친놈아
아니라고 제발
그럼 그렇지 아주 그냥 날 애초에 왜 태어나게 만들었냐? 나 니 죽이러 간다.
그만하라고",4,1,협박 대화,기타 괴롭힘 대화
"야 막내 먹을거 좀 사와.
난 햄버거 좀 사와라.
난 차가우면서도 뜨거운 아메리카노 알지?
왜 가까운데만 골라. 한 걸어서 몇십분 정도 갔다올 수 있잖아? 마 사원 그치?
너무하지 그건 
운동 좀 해야지 마 사원 살 언제 뺄라그래
제 건강은 제가 챙길게요.
이제 말 대꾸 하네? 감히 상사한테?
우리가 너 신경 써주는 거 몰라?
마 사원 얼른 다녀와.",3,1,직장 내 괴롭힘 대화,기타 괴롭힘 대화
"김팀장 립스틱샀어? 이번 신상이네?
네
너무 이쁘다 나도 발라보자
네?
어머 어머 나랑 톤도 잘맞네 이거 나좀 빌려주라
네?????
오늘 저녁 맞선보러 가는데 이 립스틱이 찰떡이라 수정화장할때 쓰면 좋을것같아
어제 샀는데.
아니 누가 가져간대?? 쓰고 돌려주면 될거아니야 왜이렇게 심보가 못됐어? 내가 맞선 잘안됐으면 좋겠니?? 김팀장은?
아니요.그건 아닌데.",0,3,갈취 대화,직장 내 괴롭힘 대화
