class,conversation
일반 대화,"안녕, 오늘 좀 춥지 않아? 따뜻한 거 마실까?  
응, 좋아. 근처 카페에서 차 한 잔 어때?  
오, 찹쌀떡도 같이 먹고 싶어.  
좋지, 거기 디저트 맛있다던데. 몇 시에 갈까?  
4시 어때? 바로 예약할게.  
완벽해, 거기서 만나자!  "
일반 대화,"어제 본 영화 어땠어? 재밌었어?  
진짜 재밌었어! 스릴러라 긴장감 넘쳤어.  
오, 나도 볼까? 제목이 뭐야?  
‘기생충’ 다시 봤어. 명작이야.  
맞아, 봉준호 감독 영화지? 같이 또 보자.  
좋아, 주말에 시간 돼?  "
일반 대화,"점심 뭐 먹을까? 배고프네.  
김치찌개 어때? 집 근처 맛집 가자.  
오, 좋지. 거기 밑반찬도 맛있어.  
맞아, 된장국도 시킬까?  
응, 완벽해. 몇 시에 갈까?  
1시 어때? 바로 가자!  "
일반 대화,"주말에 뭐해? 날씨 좋을 거 같아.  
친구들이랑 캠핑 갈까 해. 너도 올래?  
캠핑? 재밌겠다! 어디로 가?  
양평 쪽으로. 바비큐도 할 거야.  
오, 좋아. 준비물 뭐 챙겨?  
텐트랑 간식 챙기자!  "
일반 대화,"요즘 듣는 노래 뭐야? 추천해줘.  
최근에 아이유 새 앨범 듣고 있어.  
오, 타이틀곡 좋았어?  
진짜 좋아. 감성 터져. 들어볼래?  
응, 바로 들어볼게. 콘서т 가고 싶네.  
나도! 같이 티켓팅하자.  "
일반 대화,"새로 산 옷 어때? 잘 어울려?  
완전 멋져! 어디서 샀어?  
홍대 매장에서 세일하길래 샀지.  
나도 쇼핑 가고 싶다. 같이 갈까?  
좋아, 이번 주말 어때?  
딜! 시간 정하자.  "
일반 대화,"요즘 책 뭐 읽어? 추천해줘.  
‘데미안’ 읽고 있어. 생각 많아지더라.  
오, 헤르만 헤세지? 나도 읽어볼까?  
추천해. 도서관에 있을 거야.  
좋아, 빌려서 읽고 얘기하자.  
오케이, 다음에 같이 토론하자!  "
일반 대화,"오늘 저녁 뭐 먹을까? 배달시킬까?  
피자 어때? 오랜만에 먹고 싶어.  
오, 좋지. 치즈 피자 시킬까?  
응, 그리고 치킨도 추가하자.  
완벽해. 7시쯤 시킬까?  
좋아, 같이 영화 보면서 먹자!  "
일반 대화,"여행 가고 싶다. 어디 추천할 데 있어?  
부산 어때? 해운대 밤바다 멋져.  
오, 좋네. 숙소는 호텔로 할까?  
민박도 괜찮아. 분위기 좋아.  
좋아, 계획 세우자. 언제 갈까?  
다음 달 어때?  "
일반 대화,"요즘 드라마 뭐 봐? 재밌는 거 있어?  
‘도깨비’ 다시 보고 있어. 명작이야.  
오, 공유 나오는 거? 나도 좋아해.  
맞아, 스토리 너무 좋아. 정주행할래?  
응, 주말에 같이 보자.  
좋아, 간식 준비하자!  "
일반 대화,"새로 나온 카페 갔어? 디저트 맛있다던데.  
아직 안 갔어. 메뉴 뭐가 좋아?  
티라미수랑 아메리카노 추천해.  
오, 먹고 싶다. 오늘 갈까?  
좋아, 3시 어때? 같이 가자.  
딜! 거기서 만나자.  "
일반 대화,"요즘 취미 뭐해? 뭔가 재밌는 거 없을까?  
나 최근에 베이킹 시작했어. 쿠키 만들었어.  
진짜? 맛있어 보여. 나도 해볼까?  
같이 클래스 들을래? 재밌어.  
좋아, 주말에 같이 해보자!  
오케이, 레시피 보내줄게.  "
일반 대화,"어제 친구들이랑 뭐했어?  
노래방 갔어. 진짜 신났어.  
오, 어떤 노래 불렀어?  
케이팝이랑 옛날 노래 섞어서.  
다음에 나도 갈래. 언제 또 가?  
이번 주말 어때? 같이 가자!  "
