id,class,conversation
1,일반 대화,"최근에 본 영화 중 추천할 만한 거 있어?
나도 그렇게 생각했어.
최신 영화 뭐가 좋대?
로맨스도 괜찮지.
여름 휴가 어디 갈 거야?
음… 글쎄.
점심 뭐 먹을래?
나는 치킨.
최신 영화 뭐가 좋대?
로맨스도 괜찮지.
Ducimus 영화 재밌어 보이네.
정말? 나도 보고 싶다.
지난 여행 기억나?
정말?
최근에 본 영화 중 추천할 만한 거 있어?
Nisi 영화 좋았어.
점심 뭐 먹을래?
헐 진짜?
조심히 들어가!"
2,일반 대화,"지난 여행 기억나?
사진 다시 봐야겠다.
지난 여행 기억나?
다음엔 더 가고 싶어.
여름 휴가 어디 갈 거야?
바다 가고 싶어.
지난 여행 기억나?
나도 그렇게 생각했어.
여름 휴가 어디 갈 거야?
산으로 가고 싶네.
저녁 메뉴 추천해줘.
짜장면 어때?
조심히 들어가!"
3,일반 대화,"여름 휴가 어디 갈 거야?
평창군 갈까 생각 중이야.
최신 영화 뭐가 좋대?
헐 진짜?
해외여행 가고 싶다.
돈만 있으면 당장 가지.
해외여행 가고 싶다.
유럽도 좋지.
Ducimus 영화 재밌어 보이네.
좋네!
프로젝트 언제 끝날까?
팀장한테 물어봐야겠네.
최신 영화 뭐가 좋대?
리뷰 확인해봐.
Ducimus 영화 재밌어 보이네.
헐 진짜?
치킨 땡긴다.
양념치킨 어때?
오늘은 여기까지 하자."
4,일반 대화,"저녁 메뉴 추천해줘.
집밥이 최고야.
프로젝트 언제 끝날까?
주말에 좀 해야겠어.
최근에 본 영화 중 추천할 만한 거 있어?
그건 몰랐네.
어제 비 때문에 힘들었어.
다음엔 우산 꼭 챙겨.
치킨 땡긴다.
정말?
오늘 날씨 진짜 좋다.
그러게, 산책하기 딱 좋네.
오늘 날씨 진짜 좋다.
맞아 덥더라.
어제 비 때문에 힘들었어.
재밌네.
오늘은 여기까지 하자."
5,일반 대화,"업무 너무 많다.
같이 해결하자.
오늘 날씨 진짜 좋다.
그러게, 산책하기 딱 좋네.
어제 비 때문에 힘들었어.
그건 몰랐네.
오늘 날씨 진짜 좋다.
햇볕이 따뜻하네.
오늘 회의 힘들었지?
응 진짜 길더라.
주말에 영화 보러 갈래?
오 그렇구나.
프로젝트 언제 끝날까?
팀장한테 물어봐야겠네.
오늘은 여기까지 하자."
6,일반 대화,"해외여행 가고 싶다.
동남아 어때?
오늘 회의 힘들었지?
응 진짜 길더라.
어제 비 때문에 힘들었어.
나도 젖었어.
점심 뭐 먹을래?
나도 그렇게 생각했어.
비 많이 올 것 같지 않아?
그건 몰랐네.
오늘 회의 힘들었지?
음… 글쎄.
주말에 또 얘기하자."
7,일반 대화,"Ducimus 영화 재밌어 보이네.
같이 보자!
어제 비 때문에 힘들었어.
나도 젖었어.
오늘 회의 힘들었지?
나 졸릴 뻔했어.
해외여행 가고 싶다.
오 그렇구나.
최근에 본 영화 중 추천할 만한 거 있어?
정말?
오늘 회의 힘들었지?
내일 더 바빠질듯.
잘 가!"
8,일반 대화,"해외여행 가고 싶다.
동남아 어때?
오늘 회의 힘들었지?
응 진짜 길더라.
치킨 땡긴다.
나도 치킨 좋아해.
Ducimus 영화 재밌어 보이네.
같이 보자!
최신 영화 뭐가 좋대?
리뷰 확인해봐.
해외여행 가고 싶다.
동남아 어때?
어제 본 영화 진짜 재밌었어.
난 별로였어.
최근에 본 영화 중 추천할 만한 거 있어?
코미디로 Vel 영화 어때?
잘 가!"
9,일반 대화,"오늘 회의 힘들었지?
나 졸릴 뻔했어.
오늘 날씨 진짜 좋다.
그건 몰랐네.
오늘 날씨 진짜 좋다.
그러게, 산책하기 딱 좋네.
오늘 회의 힘들었지?
내일 더 바빠질듯.
프로젝트 언제 끝날까?
아마 다음 달쯤?
업무 너무 많다.
나도 그래.
여름 휴가 어디 갈 거야?
정말?
오늘은 여기까지 하자."
10,일반 대화,"지난 여행 기억나?
다음엔 더 가고 싶어.
어제 비 때문에 힘들었어.
다음엔 우산 꼭 챙겨.
오늘 날씨 진짜 좋다.
내일은 더 춥대.
지난 여행 기억나?
그건 몰랐네.
어제 비 때문에 힘들었어.
음… 글쎄.
지난 여행 기억나?
좋네!
해외여행 가고 싶다.
유럽도 좋지.
그럼 내일 보자."
11,일반 대화,"주말에 영화 보러 갈래?
좋아, 무슨 영화 볼까?
해외여행 가고 싶다.
이야, 놀랍다.
어제 본 영화 진짜 재밌었어.
좋네!
업무 너무 많다.
재밌네.
프로젝트 언제 끝날까?
아마 다음 달쯤?
오늘 날씨 진짜 좋다.
햇볕이 따뜻하네.
최신 영화 뭐가 좋대?
오 그렇구나.
주말에 영화 보러 갈래?
시간 맞으면 보자.
오늘 회의 힘들었지?
그래도 끝나서 다행.
잘 가!"
12,일반 대화,"저녁 메뉴 추천해줘.
짜장면 어때?
업무 너무 많다.
좋네!
여름 휴가 어디 갈 거야?
바다 가고 싶어.
어제 비 때문에 힘들었어.
나도 젖었어.
오늘 날씨 진짜 좋다.
햇볕이 따뜻하네.
치킨 땡긴다.
양념치킨 어때?
치킨 땡긴다.
어제도 먹었는데 또?
점심 뭐 먹을래?
분식 어때?
조심히 들어가!"
